situation,thought,reframe,has_distortion,all-or-nothing thinking,comparing and despairing,disqualifying the positive,emotional reasoning,fortune telling,labeling,magnification,mind reading,overgeneralizing,should statements,mental filter,personalization and blaming
I got very upset last week when I realized that I had forgotten to fill out a required form and the date that the form was due had already passed.,they should have reminded me before I forgot,"I forgot the date, but now I know better for the future. I can complete forms right when I receive them, add the dates to my calendar, set reminders, or add them to my to-do list. Next time I will try these tactics.",1,0,0,0,0,0,0,0,0,0,1,0,0
I got very upset last week when I realized that I had forgotten to fill out a required form and the date that the form was due had already passed.,they should have reminded me before I forgot,"I should have remembered the date, but now I know that marking dates on my calender can help with this.",1,0,0,0,0,0,0,0,0,0,1,0,0
I had a breakup,I am the cause of the breakup,"I may have been the cause of the breakup, but my partner was",1,0,0,0,0,0,0,0,0,0,0,0,1
I had a breakup,I am the cause of the breakup,I shouldn't blame only me for my breakup. We both were equal partners in our relationship,1,0,0,0,0,0,0,0,0,0,0,0,1
"I had a huge fight with my friend and I love her so much and I called her fat and ugly and I didn't mean to, is there a condition for something like this",I'm being mean to someone I love,"I made a mistake by calling my friend something mean, but that does not mean I'm a bad friend.",1,0,0,0,0,0,1,0,0,0,0,0,0
I had an opportunity to get a large bonus at work but I did not do well on task so no bonus,I could have done so much better,I feel disappointed about my performance. I tried my best and will find a way to do better in the future.,1,1,0,0,0,0,0,0,0,0,0,0,1
I had an opportunity to get a large bonus at work but I did not do well on task so no bonus,I could have done so much better,I feel disappointed that I didn't get a bonus but I'm proud I tried my best and am grateful to have an opportunity to try again in the future.,1,1,0,0,0,0,0,0,0,0,1,0,1
"I had been working on a project at work for a very long time, but a higher up manager contacted my boss and asked about it, insinuating I wasn't delivering it fast enough.",I'm working on this as fast as I possibly can,I am stressed by trying to compare how fast I am working on this to how fast I think other people complete their assignments. I know I am being efficient with my time and producing good work. I need to focus on that to get this task done.,1,0,1,0,0,0,0,0,0,0,0,0,0
"I had been working on a project at work for a very long time, but a higher up manager contacted my boss and asked about it, insinuating I wasn't delivering it fast enough.",I'm working on this as fast as I possibly can,The manager may have reached out because he is interested in the work I am doing but does not understand how much time it takes to complete the work.,1,0,0,1,0,0,0,0,0,0,0,0,0
I had dinner plans cancelled by my parents because I my mom was feeling under the weather.,I never get to see her anymore.,My parents love me and I value our relationship. I will continue to prioritize it in my calendar,1,0,0,1,0,0,0,0,0,0,0,0,0
"I had tentative plans to get together with friends last week, but they never got back to me.",they don't really like me,"My friends may have gotten busy and forgotten to solidify the plans. Next time, I should reach out to confirm the plans myself.",1,0,0,0,0,0,0,0,1,0,0,0,0
"I had tentative plans to get together with friends last week, but they never got back to me.",they don't really like me,"My friends may have gotten busy, but that doesn't mean they would not have made time for me. I am sure if I had double-checked, they would have made time. This does not mean that they don't like me.",1,1,0,0,0,0,0,0,1,0,0,0,0
I have a flight in the evening,Something will go wrong on my flight today,"Even if something goes wrong on the flight, it won't be catastrophic. Let's hope I arrive safely at my destination.",1,0,0,0,0,1,0,0,0,0,0,0,0
I have a flight in the evening,Something will go wrong on my flight today,My flight will be exciting and adventourous. I'm looking forward to see what transpires,1,0,0,0,0,1,0,0,0,0,0,0,0
"I have anxiety, depression, disordered eating, and when I asked if I have ptsd my therapist said I have (whatever). The longest job I had was five months, and majority of my jobs have been part time seasonal work. about as long as worked anywhere else too. I get bored, and my mental illnesses make it hard too.",I’ll never be able to hold a job.,"My mental illnesses make some things harder for me, but I will be able to find a job that is a good fit for me.",1,0,0,0,0,0,0,1,0,0,0,0,0
"I have anxiety, depression, disordered eating, and when I asked if I have ptsd my therapist said I have (whatever). The longest job I had was five months, and majority of my jobs have been part time seasonal work. about as long as worked anywhere else too. I get bored, and my mental illnesses make it hard too.",I’ll never be able to hold a job.,"I'm going through a hard time right now, but that does not mean I won't be able to hold a job eventually.",1,0,0,0,0,1,0,0,0,0,0,0,0
"I have been trying to get a hold of a friend to help me with a project for over a week, but he won't return my calls or texts.",He is avoiding me,I only asked him a week ago and I know he has a lot going on. I should check back in with him next week to see if he has the time to help me out right now.,1,0,0,0,0,0,0,1,1,1,0,0,0
"I have been trying to get a hold of a friend to help me with a project for over a week, but he won't return my calls or texts.",He is avoiding me,My friend may be busy right now. I should try to ask another friend.,1,0,0,0,0,0,0,1,1,1,0,0,0
"I have depression and anxiety. The past 3 weeks have been especially tough depression wise, due to some out of our control stressors. spent a lot of time in bed while my kids were in school, just doing the bare minimum.  Meanwhile, my very supportive husband has been picking up my slack. I feel as though I nearly contribute to the household chores as much as I should, though I thank him constantly for his work.  Any words of wisdom or encouragement?",I feel like a bad wife and mom,I am doing my best given my current circumstances. That does not mean I'm a bad wife or mom.,1,0,0,0,1,0,1,0,0,0,0,0,0
"I have depression and anxiety. The past 3 weeks have been especially tough depression wise, due to some out of our control stressors. spent a lot of time in bed while my kids were in school, just doing the bare minimum.  Meanwhile, my very supportive husband has been picking up my slack. I feel as though I nearly contribute to the household chores as much as I should, though I thank him constantly for his work.  Any words of wisdom or encouragement?",I feel like a bad wife and mom,I am going through a difficult time right now. It is ok that I am not doing as much for the family as much as I'd like to.,1,0,0,0,1,0,1,0,0,0,0,0,0
I hurt my families feelings by canceling the trip they had planned to come to see me.,I should have made time for them.,I feel sad that I had to cancel this trip but I know my family loves me and will understand.,1,0,0,0,0,0,0,0,1,0,0,0,0
I hurt my families feelings by canceling the trip they had planned to come to see me.,I should have made time for them.,I cancelled that trip because I had to. It hurts to have done so but it was the right thing.,1,0,0,0,0,0,0,0,0,0,1,0,0
I hurt my family members by telling them to postpone their long-planned trip to visit me because I was too busy,I am selfish,"I had to prioritize work this time but it doesn't mean I'm ""selfish"" as a whole",1,0,0,0,0,0,1,0,0,0,0,0,0
I hurt my family members by telling them to postpone their long-planned trip to visit me because I was too busy,I am selfish,"I may have come across as ""selfish"", but I didn't have a choice",1,0,0,0,0,0,1,0,0,0,0,0,0
I invited a co-worker out and they turn me down,They will never want to go out with me,"Just because one person turns me down, doesn't mean everyone will. I will keep trying and I will find someone who wants to go out with me",1,0,0,0,0,0,1,0,0,0,0,0,0
I invited a co-worker out and they turn me down,They will never want to go out with me,One person turned me down but many others want to go out with me,1,0,0,0,0,0,1,0,0,0,0,0,0
I invited a co-worker out and they turned me down,They will never want to go out with me,"I'm sure their response was not about me, this coworker must have other things going on.",1,0,0,0,0,0,0,1,0,0,0,0,1
I invited a co-worker out and they turned me down,They will never want to go out with me,"The coworker must be busy, maybe they will accept my invitation next time.",1,0,0,0,0,1,0,0,0,1,0,0,0
I just don't care about myself,Everyone is more important than me,Although I feel less important than others and dont care about myself I can name a few important and good qualities I do have,1,0,1,1,0,0,0,0,0,0,0,0,0
I just feel unmotivated,I just can't get moving,Just because I feel unmotivated right now and can’t get moving doesn’t mean I’ll always feel this way,0,0,0,0,0,0,0,0,0,0,0,0,0
I just got fired from working as a sales person because I didn't reach my quota. I had never had a job like this before this.,I'm a failure and can't keep a sales person job.,I wonder if sales is the right job for me. I have a lot of skills to offer and will find the right job for me in the future.,1,1,0,0,0,0,1,0,0,0,0,0,0
I just got fired from working as a sales person because I didn't reach my quota. I had never had a job like this before this.,I'm a failure and can't keep a sales person job.,I'm feeling hurt from losing that job. It's normal to doubt myself but I have had successes in the past and will again in the future.,1,1,0,0,0,0,1,0,0,0,0,0,0
"I keep pushing myself towards new things. I keep working, studying, socializing, exercising. I'm doing far more thab anyonr I know and I still go to sleep every night, hoping I won't wake up.",I'm everything I can and I still feel like shit,"Though I generally feel bad, there are times that I feel joy, like when I exercise or hang out with friends.",1,0,0,1,0,0,0,0,0,0,0,0,0
"I keep pushing myself towards new things. I keep working, studying, socializing, exercising. I'm doing far more thab anyonr I know and I still go to sleep every night, hoping I won't wake up.",I'm everything I can and I still feel like shit,"I am doing a lot of cool things and still feeling bad.  This is not normal, and I can reach out for help if I think that there's nothing else I can do.",1,0,0,0,0,0,0,0,0,1,0,0,0
I know why I am so angry all of the time. like I have this little monster in my head. It just makes me want to abandon everything and hide from everyone so I lash out anymore. I just hate my brain.,I am crazy.,"I am not crazy, but I have anger issues that I need to work on.",1,0,0,0,0,0,1,0,0,0,0,0,0
"I left a toxic job that abused me for 12 years. I thought I found a new job that was better, but realized they lied to me about the job and now I hate working here. I feel like I made a huge mistake.","I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.",Just because I have had two negative situations related to employment doesn't mean it happens every time.  There are other areas of my life where I have had made positive changes and it has worked out great.,1,0,0,0,0,1,0,0,0,0,0,0,0
"I lost my best friend. I'm a male and she was the nicest girl I've ever met. But I fucked it. I started to take her for granted, started to overthink, to take everything too seriously, I was jealous, selfish and though only of my own interests and not of hers feelings",it's all my fault,"Though I messed up, I've learned a lot from myself and can improve this behavior.",1,1,0,0,0,0,0,0,0,0,0,0,0
"I lost my best friend. I'm a male and she was the nicest girl I've ever met. But I fucked it. I started to take her for granted, started to overthink, to take everything too seriously, I was jealous, selfish and though only of my own interests and not of hers feelings",it's all my fault,I messed things up. I have some things I need to work on if I want to be in a relationship again.,1,0,0,0,0,0,0,0,0,0,0,0,1
I love two people at the same time,That I'm going to fail,It could all turn out much better than I expected.,1,0,0,0,0,0,0,1,0,0,0,0,0
I love two people at the same time,That I'm going to fail,I don't really know whether or not I will fail.,1,0,0,0,0,1,0,0,0,0,0,0,0
"I made a joke that fell flat in front of someone I just met, and that person left the room.",People will never perceive me as acting naturally in social situations.,This one experience does not define how people will perceive me in other social situations.,1,0,0,0,0,1,0,0,0,1,0,0,0
"I made a joke that fell flat in front of someone I just met, and that person left the room.",People will never perceive me as acting naturally in social situations.,"We may not have the same sense of humor, but that doesn't mean how I act in social situations is unnatural.",1,0,0,0,0,1,0,0,0,1,0,0,0
I made very good English presentation but I got nervous because of the amount of people and I forgot my text,I'm scared to present in front of other people and I panic,"Although I got nervous today and forgot part of my presentation, I actually made a very good presentation overall.  It is natural to be nervous when presenting in front of other people.  The more I do it the less anxious I will feel.",1,0,0,1,0,0,0,0,0,0,0,0,0
I posted a new piece of artwork online and people started comparing it with artwork created by others,I shouldn't have posted it,I am proud to have posted my work,1,0,0,0,0,0,0,0,0,0,0,0,1
I posted a new piece of artwork online and people started comparing it with artwork created by others,I shouldn't have posted it,I can still be proud of my work. It is totally up to me whether I should post it or not,1,0,0,0,0,0,0,0,0,0,0,0,1
I put in a lot of time on an Mturk task and was rejected on an attention request. I suggested a better way of handling these errors (automatic ejection) to the researcher and their answer showed they didn't understand my point.,I didn't explain this right.,Maybe the researcher doesnt understand Mturk that well. I should try to explain it differently.,1,0,0,0,0,0,0,0,0,1,0,0,0
I put in a lot of time on an Mturk task and was rejected on an attention request. I suggested a better way of handling these errors (automatic ejection) to the researcher and their answer showed they didn't understand my point.,I didn't explain this right.,"Maybe I did explain it right, but the researcher isn't familiar with Mturk. I should try to explain it another way or show him as  I am explaining.",1,0,0,0,0,0,0,0,0,0,0,0,1
I received a rejection email from a position I applied to.,I will never get a job.,"I haven't had other job interviews yet, so I do not know what will happen following them.",1,0,0,0,0,1,0,0,0,0,0,0,0
I received a rejection email from a position I applied to.,I will never get a job.,Just because I didn't receive an offer for this job doesn't mean I won't receive a job offer somewhere else in the future.,1,0,0,0,0,1,0,0,0,1,0,0,0
I recently discovered a music artist that I very much enjoy. When I showed it to a close friend they had a very negative reaction and asked me how I could enjoy this type of music. I ended up getting quite angry with them and told them they had bad taste in music.,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,"I was offended by their comment because I like this artist so much. I let my anger get to me, and I said something mean in return. It is okay if we have different music tastes. I can ask him to be nicer to me next time.",1,0,0,0,1,0,0,0,0,0,0,0,0
I recently discovered a music artist that I very much enjoy. When I showed it to a close friend they had a very negative reaction and asked me how I could enjoy this type of music. I ended up getting quite angry with them and told them they had bad taste in music.,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,"I got offended by my friend's comment because I felt like they were attacking me. Just because my friend doesn't like the same music as me, doesn't mean that I should take it so personal. Next time, I will try to remember that the comment is not about me.",1,0,0,0,0,0,0,0,0,0,0,0,1
I run a business with my close friend and we were taking work-related photos at their house. I took the memory card home but lost it while I was walking.,My friend is going to be angry with me,"I made a mistake, and I will try to find it before I assume what will happen.",1,0,0,0,0,0,0,0,1,0,0,0,0
I saw a profile picture of a close friend on a dating app that I had feelings for.,I am not the kind of person that she would like to go out with.,I don't know what she is looking for in a potential partner. I should like her on the app and see what happens.,1,1,0,0,0,0,0,0,1,0,0,0,0
I saw a profile picture of a close friend on a dating app that I had feelings for.,I am not the kind of person that she would like to go out with.,I am assuming that there is nothing about me that would be attractive to her. There are many different parts of what make me who I am.  Everyone has strengths and weaknesses - I am not the only person with some faults.,1,1,1,0,0,0,0,0,1,0,0,0,0
I saw my best friend kissing with my long time crush,No one cares about me,There are a lot of people in my life who care about me.  My best friend may not be trustworthy but that doesn't mean he/she doesn't care about me.,1,0,0,0,0,0,0,0,0,1,0,0,0
I saw my friend comment on an Instagram post when he's been ignoring me.,My friend doesn't like me anymore.,He probably is just not as active on social media right now.,1,0,0,0,0,0,0,0,1,0,0,0,0
I saw my friend comment on an Instagram post when he's been ignoring me.,My friend doesn't like me anymore.,He is probably just commenting on things on his feed and it is not about me specifically.,1,0,0,0,0,0,0,0,0,0,0,0,1
I sent a message to my friend and they did not reply,It must be my fault,I did my part by sending the message. It is now up to them to reply. It would be their fault if they do not,1,0,0,0,0,0,0,0,0,0,0,0,1
I sent a message to my friend and they did not reply,It must be my fault,I think I'm wrongly assuming that I'm responsible for my friend not replying. There could be many reasons they didn't reply that are unrelated to me,1,0,0,0,0,0,0,0,0,0,0,0,1
I talk to a close friend online every day because we live in different states. We share a lot about our lives and our messages are usually pretty long. My friend asked me to stop messaging for a while because they felt overwhelmed and wouldn't be able to respond but wanted to at a later time,I'm annoying and oversharing,i appreciate my friend telling me what they need. I will respect their boundaries.,1,0,0,0,0,0,0,0,0,1,0,0,0
I think that I am fatter that everyone else but i am not,I'm worthless,My self-worth does not depend on having a particular body type.,1,0,0,0,0,0,1,0,0,0,0,0,0
I think that I am fatter that everyone else but i am not,I'm worthless,I can accept myself regardless of how I look.,1,0,0,0,0,0,1,0,0,0,0,0,0
I took part in a writing competition and I lost,I will never become a successful writer,"I don't know what the future will bring. If I continue working hard and persevering, it will only increase my chances of being a successful writer",1,0,0,0,0,1,0,0,0,0,0,0,0
I took part in a writing competition and I lost,I will never become a successful writer,"I may not become the most successful writer, but atleast I participated. Need to put in more work, I guess",1,0,0,0,0,1,0,0,0,0,0,0,0
I tried a new hair style but no one commented on it,I shouldn't have changed my hair,I changed my hair because I wanted and they look great,1,0,0,0,0,0,0,0,0,0,1,0,0
I tried a new hair style but no one commented on it,I shouldn't have changed my hair,"I could have kept the same hair, but I still wouldn't have drawn any attention",1,0,0,0,0,0,0,0,0,0,1,0,0
"I tried on my wedding dress in front of my family. My mother was excited and told me I was beautiful, but other members of my family made comments about my weight. I was told to not eat and exercise so I could be beautiful.",I'm a fat ugly troll.,I'm feeling hurt after that interaction. I want to feel good in the dress that I chose and will find a way to do so.,1,0,1,0,0,0,1,0,0,0,0,0,0
"I tried on my wedding dress in front of my family. My mother was excited and told me I was beautiful, but other members of my family made comments about my weight. I was told to not eat and exercise so I could be beautiful.",I'm a fat ugly troll.,The commend about my weight hurt and have me feeling self conscious. I'm glad my mother thinks I'm beautiful and know that my weight does not dictate my worth.,1,0,0,1,0,0,1,1,0,0,0,0,0
I tried to make a business but I lose,I'll never be able to do anything,Just because I failed with this experience of starting a business doesn't mean I will fail at everything in life.  I am smart and a hard worker.  I will accomplish many things in my life.,1,1,0,0,0,0,0,0,0,0,0,0,0
I tried to make a business but I lose,I'll never be able to do anything,"I can't predict the future.  I may not have been successful with the first business I tried, but that doesn't mean I'll never be successful at anything else.",1,0,0,0,0,1,0,0,0,0,0,0,0
I try to talk to a stranger at a party and they seem disinterested and walk away from me,I'm boring,"I may be boring, but that's who I am",1,0,0,0,0,1,0,0,0,0,0,0,0
I try to talk to a stranger at a party and they seem disinterested and walk away from me,I'm boring,"One disinterested stranger does not necessarily make me ""boring"" as a person",1,0,0,0,0,1,0,0,0,0,0,0,0
I was addicted to heroin.,I don't deserve to get better.,"I'm proud of myself for overcoming a heroin addiction. If I can do that, I can make other positive changes like finding a job.",1,0,0,1,0,0,0,0,0,0,0,0,0
I was addicted to heroin.,I don't deserve to get better.,It's natural to feel discouraged about not having a job right now. But I can be proud of recovering from my heroin addiction.,1,0,0,1,0,0,0,0,0,0,0,0,0
I was at my Moms house today and we were talking about my job. She was shocked that I had been there for 15 years. She felt that it wasn't a good enough job. We were talking in the living room. She gasped as if that was insane.,My job is worthless,My mom wouldn't want the job I have but it is not all bad.,1,1,0,0,0,0,0,0,0,0,0,0,0
I was at my Moms house today and we were talking about my job. She was shocked that I had been there for 15 years. She felt that it wasn't a good enough job. We were talking in the living room. She gasped as if that was insane.,My job is worthless,My mom and I have different opinions about the pros and cons of this job.,1,0,0,1,0,0,0,0,0,0,0,0,0
I was called into a meeting with my boss where I was told that I wasn't meeting the standards at work.,I am not doing well enough to warrant working at this job.,"While it doesn't feel great to hear that I'm not meeting standards at work, this does not mean I don't deserve this job. I will work to meet my work's standards.",1,1,0,0,0,0,0,0,0,0,0,0,0
I was given a wrong dosage of medication by my Doctor.  I couldn't figure out why I felt so bad until I went back to see him.,Medication can be dangerous.,Medications have side effects and that is why doctor has follow up appointments so I can have them adjusted to meet my needs,1,1,0,0,0,0,0,0,0,0,0,0,0
I was given a wrong dosage of medication by my Doctor.  I couldn't figure out why I felt so bad until I went back to see him.,Medication can be dangerous.,It is okay to be scared of side effects and medications are helpful to me,1,1,0,0,1,0,0,0,0,0,0,0,0
"I was greatly irritated, almost angry,  when a close friend reached out to me for assistance on taxes.  I usually do them, but I did not want to be bothered this year and felt almost used.",I feel my friend used me.,My friend may not know how busy I am and did not mean to make me feel used. I should just tell my friend that I cannot help with their taxes this year.,1,0,0,0,0,0,0,0,1,0,0,0,0
"I was greatly irritated, almost angry,  when a close friend reached out to me for assistance on taxes.  I usually do them, but I did not want to be bothered this year and felt almost used.",I feel my friend used me.,Maybe my friend has been going through something or is busy and that is why they haven't reached out. I cant expect them to reach out to me if I am not doing the same.,1,0,0,0,0,0,0,0,0,0,0,0,1
I was in my grandma's house and I knocked the vase on the floor,Grandma will be so angry at me,I am just making predictions. I have no way of telling what will happen or how my grandma will react. It is just a vase and she may not be bothered,1,0,0,0,0,1,0,0,0,0,0,0,0
I was in my grandma's house and I knocked the vase on the floor,Grandma will be so angry at me,My grandma loves me and she will never be angry with me.,1,0,0,0,0,1,0,0,0,0,0,0,0
I was looking forward to relaxing but my partner asked me to make dinner instead.,My partner thinks I am lazy.,"My partner asked me to make dinner, that does not mean I am lazy.",1,0,0,0,0,0,0,0,1,0,0,0,0
I was looking forward to relaxing but my partner asked me to make dinner instead.,My partner thinks I am lazy.,"I know my partner doesn't think I am lazy, there is probably another reason they asked me to do this.",1,0,0,0,0,0,0,0,1,0,0,0,1
I was not paying attention and scratched someone's car while driving,I am will have to pay for this,I might have overestimated my turn and must've accidentally scratched their car.,1,0,0,0,0,0,0,1,0,0,0,0,0
I was not paying attention and scratched someone's car while driving,I am will have to pay for this,"I might have to pay some of the damages, but I have car insurance and the car insurance will help pay for some of the damages.",1,0,0,0,0,1,0,0,0,0,0,0,0
I was on a coffee break and my boss reminded me of work that needs to get done.,I could get fired.,My boss might be feeling anxious about this work. I can help out my boss and our organization by taking on this task.,1,1,0,0,0,0,0,0,0,0,0,0,0
I was on a coffee break and my boss reminded me of work that needs to get done.,I could get fired.,I'm feeling anxious after my boss mentioned the work I needed to get done. I will work to calm myself and then apply myself to this work so that I can be confident in what I contribute to this job.,1,1,0,0,0,0,0,1,0,0,0,0,0
I was on a coffee break and my boss reminded me of work that needs to get done.,My boss must think I'm lazy.,I wonder what my boss thinks of me. I want to do my best at this job so they are satisfied.,1,0,0,0,0,0,0,0,1,0,0,0,0
I was on a coffee break and my boss reminded me of work that needs to get done.,My boss must think I'm lazy.,Having my boss mention that work made me feel anxious and guilty. Those feeling may not necessarily be warranted and I will do my best at this job and to make them proud of my work.,1,0,0,0,0,0,0,0,1,0,0,0,1
I was on a date and started to cough badly as the food was too hot,I should have ordered a milder dish,"Coughing happens, I ordered the food I wanted and it tasts really nice",1,0,0,0,0,0,0,0,0,0,1,0,0
I was on a date and started to cough badly as the food was too hot,I should have ordered a milder dish,"I could have ordered something milder, but that might have resulted in a cough as well",1,0,0,0,0,0,0,0,0,0,1,0,0
I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him.,I am not good enough.,I am worthy of connection and conversation.,1,0,0,0,0,0,1,0,0,0,0,0,0
I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him.,I am not good enough.,The person on the phone is probably just a friend or someone from his family.,0,0,0,0,0,0,0,0,0,0,0,0,0
I was passed over for a new job with a larger company.,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.",I am proud of myself for getting an interview in the first place. Maybe the other person has better interview skills or had experience that aligns more closely with the role. I should see if I can get feedback from the company so I can try to improve for next time.,1,0,0,0,0,0,0,0,0,0,0,0,1
I was passed over for a new job with a larger company.,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.","The other person may have been more qualified than me, even if they have less experience. Maybe I can improve my interview skills for next time.",1,0,0,0,0,0,0,0,0,0,0,0,1
"I was passed over for a small promotion at my place of work. The person who got the promotion was younger and less experienced than me, but a favorite of the boss.",I was angry because I was the better person for the job.,My emotional reactions to not getting something I want are valid and I can decide how to respond next from a rational place,1,0,0,0,0,0,0,0,0,0,0,0,1
"I was passed over for a small promotion at my place of work. The person who got the promotion was younger and less experienced than me, but a favorite of the boss.",I was angry because I was the better person for the job.,There may be many factors at play in a hiring situation that I am not privy to,1,0,0,0,0,0,0,0,0,0,1,0,0
I was reprimanded at work for standing up to a coworker who was bullying another co-worker.,It was unfair that I was the one to get in trouble for defending a weaker person.,The situation that occurred is complex with a lot of people involved - it's not just a matter of who is in the right and who is in the wrong.,1,1,0,0,0,0,0,0,0,0,0,0,0
I was reprimanded at work for standing up to a coworker who was bullying another co-worker.,It was unfair that I was the one to get in trouble for defending a weaker person.,I can own some responsibility for this conflict that occurred at work.,1,0,0,0,0,0,0,0,0,0,0,0,1
I was talking to my husband about something that happened to me that day.  He kept interrupting and talking over me.  I got up and left the room.,My husband was being a jerk and not listening to me.,I didn't appreciate my husband's behavior. I should talk with him so he knows how I feel when he interrupts or talks over me.,1,0,0,0,0,0,0,0,0,0,0,0,1
I was talking to my husband about something that happened to me that day.  He kept interrupting and talking over me.  I got up and left the room.,My husband was being a jerk and not listening to me.,"While it was not kind of my husband to interrupt me, he may have had something else on his mind and not have been aware that he was interrupting.",1,0,0,0,0,0,0,0,0,0,0,0,1
I was talking with my boyfriend on my lunch break and he started to clean his computer with canned air which made a very loud noise.,Does he not care what I am saying?,"I can't assume why he started to clean his computer, but I can tell him that it's loud and ask him to do it later.",1,0,0,0,0,0,0,0,0,1,0,0,1
I was talking with my boyfriend on my lunch break and he started to clean his computer with canned air which made a very loud noise.,Does he not care what I am saying?,It's okay that I feel annoyed that he's not paying attention in our conversation. I can ask him if he can clean his computer after we have lunch together.,1,0,0,0,0,0,0,0,0,0,0,0,1
I was told that I don't look as attractive as I used to by my significant other. She told me that she does not like the way that I have been dressing lately and that I should go back to my old style of dressing. I can recall feeling embarrassed and let down with myself. I felt very tiny and as though my relationship was falling apart because she was starting to become very superficial.,What am I doing to deserve this?,I can decide to take or leave their feedback because how I dress is my own expression and may not be for her all the time,1,0,0,0,1,0,0,0,0,0,0,0,0
I was told that I don't look as attractive as I used to by my significant other. She told me that she does not like the way that I have been dressing lately and that I should go back to my old style of dressing. I can recall feeling embarrassed and let down with myself. I felt very tiny and as though my relationship was falling apart because she was starting to become very superficial.,What am I doing to deserve this?,My SO's  opinions of me do not define me,1,0,0,0,1,0,1,0,0,0,0,0,0
I was up for a promotion at work and did not receive it.,I will be stuck in middle-management for the remainder of my career.,"I did not receive this promotion, but this doesn't mean I won't receive one in the future.",1,0,0,0,0,1,0,1,0,1,0,0,0
"I was walking in a poorly lit downtown area when a man approached me and asked for money. I told him I had none, and he started cussing me out and following me. I eventually started running and he finally stopped following.",He is going to hurt me,"The man may not have hurt me. I probably am thinking of the worst case scenario. It is good to try to get out of that situation just in case something happens, but I am probably making myself more scared by catastrophizing the situation to be worse than it actually may be.",1,0,0,0,0,0,0,1,0,0,0,0,0
"I was walking in a poorly lit downtown area when a man approached me and asked for money. I told him I had none, and he started cussing me out and following me. I eventually started running and he finally stopped following.",He is going to hurt me,"I have no indication that the man is going to hurt me. Maybe he has some other mental health issues or is going to the same direction to ask other people for money. I don't know if he is going to hurt me, and I should focus on dealing with the situation as it comes.",1,0,0,0,0,1,0,0,0,0,0,0,0
I wave to an acquaintance and get no response.,I don't make a memorable impression on people.,I feel hurt that this person didn't notice me but I know there are plenty of people I feel connected to.,1,0,0,0,0,0,1,0,0,0,0,0,0
I wave to an acquaintance and get no response.,I don't make a memorable impression on people.,"There are many reasons they might not have waved back. I'm feeling anxious about it, but this was a very small interaction.",1,0,0,0,0,0,0,0,1,0,0,0,0
I went on a trip and heard a commercial for a kitchen appliance,I feel so anxious maybe I left something turned on in the kitchen,"I'm assuming that just because I feel the fear it must mean that something scary is happening. My feelings are real, but this doesn't mean the threat is real",1,0,0,0,0,0,0,0,0,0,1,0,0
I went on a trip and heard a commercial for a kitchen appliance,I feel so anxious maybe I left something turned on in the kitchen,I'm being overly concerned. Everything is going to be alright,1,0,0,0,0,0,0,0,0,0,1,0,0
I yelled at my child for being too fidgety during stories at bedtime.,The kids will never settle down.,I overreacted by yelling. Kids will be kids and they will settle down eventually.,1,0,0,0,0,1,0,0,0,0,0,0,0
I yelled at my child for being too fidgety during stories at bedtime.,The kids will never settle down.,It is normal for kids to be fidgety at bedtime. There will be nights where they settle down easily and nights where they don't settle down easily like tonight.,1,0,0,0,0,1,0,0,0,1,0,0,0
I yelled at my sister for not doing something correctly,There will never be enough time to get everything done,"I am feeling stressed right now, but when things settle down I should be able to manage what I need to do better.",1,1,0,0,0,0,0,1,0,0,0,0,1
I yelled at my sister for not doing something correctly,There will never be enough time to get everything done,It is not my sister's job to get everything done. I need to take ownership of things I want to accomplish too.,1,0,0,0,0,0,0,0,0,0,0,0,1
I'm afraid of pregnancy and I think i'm not mentally or emotionally prepared,I can't be a mother,I am afraid to become pregnant but I can do things to prepare myself both emotionally and mentally.  I can be a mother in the future if I choose.,1,0,0,0,1,0,0,0,0,0,0,0,0
I'm afraid of pregnancy and I think i'm not mentally or emotionally prepared,I can't be a mother,No one really knows what the future holds and most mothers feel anxious about their ability to be a good mother.  I won't really know unless I try.  I will work on resolving my fear and anxiety.,1,0,0,0,0,1,0,0,0,0,0,0,0
"I'm facing an issue, that I love you girlfriend and she loves me back. But I hurt her because I'm manipulative, without really realizing what I'm doing. I make her feel guilty of things that she shouldn't feel so, and if I don't get things my way, I manipulate it so it sounds like it's her fault or she is wrong. I don't do it voluntarily, but I do it too often and it hurts her and me.",I am manipulative,"I don't mean to hurt my girlfriend when I act manipulative, but I need to work on this or she will leave me.",1,0,0,0,0,0,1,0,0,0,0,0,0
I'm failing school,I'm worthless,"Plan B comes in now so I won’t fail: spend extra time on my school work, or get a tutor, or brainstorm other options Retaking a class I fail is not the end of the world I am not giving up on me !!!",1,0,1,0,0,0,0,0,0,0,0,0,0
I'm failing school,I'm worthless,Maybe some tutoring sessions can help me raise my grades,0,0,0,0,0,0,0,0,0,0,0,0,0
